# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
11 1280 720 1056.0192441043237 1052.6959604964377 573.1473710684802 392.45025825393003 -0.4097138388277222 0.1416537021991684 -0.002090336239631225 0.0021250806118403524 cam10 0.9286838159018118 0.2547200863434019 -0.25452370574264505 -0.08877911302942307 0.5545559993346417 -0.0032659243424649417 3.0515445877441545
12 1280 720 1041.6843656174178 1043.3367508988745 644.6644390923956 349.0371060395945 -0.401000477979288 0.1526537692564957 -0.0017188096347819975 -0.003917417274402478 cam11 0.8098078072727375 -0.21356916881209317 -0.5414495444724342 0.07370153460835278 0.5907074974155063 -0.29041926876682655 3.5702269850784467
13 1280 720 1096.667560191322 1101.6187945547913 634.9650716353132 337.01418877233544 -0.44593862664572625 0.23055858370168475 0.004724841167348086 -0.002568839456681916 cam12 0.898096194383191 -0.31566608135866403 -0.2973961779170367 0.0730319387284307 0.3737547827188214 -0.09779349526203984 3.0864786654357323
14 1280 720 1078.5648292355809 1074.7284922430886 679.5795907173093 333.0359335561735 -0.43919030602591186 0.1568501975667797 0.0022896842066245124 0.0007777777383824512 cam13 0.949395754892703 -0.2826013167692358 -0.09203199392908588 0.1015593838374649 -0.12049712409450487 -0.19475493768649457 3.3585093896153375
15 1280 720 1067.0997249180618 1069.5973512840455 651.5793482966084 364.5545638335924 -0.40495110382396793 0.14197565974524162 -0.0025828921437129784 -0.001415143008235142 cam14 0.9998182147094244 -0.0009332012847433943 -0.017825696740363516 -0.006701582375983206 0.24149247301741 -0.27895457117997063 2.8733629537774847
16 1280 720 1059.5238458621805 1059.9154480661607 656.0323952333206 368.53264877086093 -0.4125872701822961 0.1522899632481921 -0.001876103028795853 0.000745584413045824 cam15 0.9549882515598246 0.013430645323467896 -0.29599317282852794 -0.014321270467583313 0.4565024942291049 -0.21104081251553294 2.4048793854611
17 1280 720 1048.9433160577948 1050.3376707931577 675.6927693109724 355.2988146539208 -0.4107181837602556 0.1664581583061731 0.000265586947550757 -0.0021128702625119655 cam16 0.823219396749408 -0.023652243520427742 -0.565232867183964 -0.04756261186043617 0.37532417909876625 -0.04153924405759577 3.215780696360872
18 1280 720 1084.4014909549223 1090.1299519007196 637.9595123109411 317.2256693411585 -0.41104267087000307 0.17293746344146535 -0.00619099943654592 0.0025093633055152244 cam17 0.9574920017795346 0.07506661011488777 0.2304455234889767 0.15642548154942906 0.18886168172082082 1.0590623511008064 3.3801823485532743
19 1280 720 1062.0317530700402 1061.2258844039275 657.6410878515018 320.5224324525741 -0.42524563708176644 0.19480625392793816 -0.0017487878812088402 0.0014633154542500724 cam18 0.7515421632815383 0.14990011439796094 0.6093661333379098 0.20343856088359583 -0.7524280515950629 0.3790649960705715 3.4730823213038793
20 1280 720 1048.0176123140325 1053.0139092285592 642.3398832198307 343.91299291074256 -0.39293978297416543 0.11720245777187019 -0.0018276369771897019 -0.0023207590463353253 cam19 0.8718271077074067 0.13912915543477813 0.4561070816258853 0.11192364569322054 0.05875941942777206 0.9290615786225558 2.7971726750218373
21 1280 720 1064.933175632681 1066.6951126412864 716.2249956871132 386.9346202910335 -0.4383226108403542 0.214050866709697 -0.0042473050086346735 -0.005213723567451622 cam20 0.8109758733143887 -0.3169833474114848 0.48583069080410807 -0.07621174606697977 0.0879051917143093 -0.05149004356403637 2.7229845683738447
22 1280 720 1083.125914109343 1083.2582013419883 614.1418638085266 340.7132179749288 -0.4147652483898341 0.15119636785066554 0.002933381593698117 0.006181090266748185 cam21 0.9207156513703798 -0.25909793614860227 0.27160064788755445 -0.1066960021379098 0.5712304193883564 -0.2858410775469687 3.204181781181135
23 1280 720 1056.8428441587316 1058.2674132395018 657.9750804640715 336.0098511636524 -0.4034594787268283 0.15762890582495123 -0.00032756919546232476 0.0008490188368641366 cam22 0.7084485010763258 -0.25469241714569735 0.6581979849207781 -0.0028118708036896922 -0.3577328763490871 -0.4222032451423854 3.3031887985433745
24 1280 720 1083.786787524596 1086.5164766170528 625.2954427025988 341.62337871416656 -0.4097293760889439 0.15290991816106347 0.00022750325954780165 0.0016476279102065217 cam23 0.737893724296328 -0.013520436883126942 0.6699453257882355 0.08064310190635805 -0.5033778890191813 -0.026397578995516455 2.973954431838074
