# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
12 1280 720 1041.6843656174178 1043.3367508988745 644.6644390923956 349.0371060395945 -0.401000477979288 0.1526537692564957 -0.0017188096347819975 -0.003917417274402478 cam11 0.8113914941356916 -0.21267786697011326 -0.5394754998524698 0.07333589301440777 0.28927022144410497 -0.9783704096844145 1.0662639450248912
13 1280 720 1096.667560191322 1101.6187945547913 634.9650716353132 337.01418877233544 -0.44593862664572625 0.23055858370168475 0.004724841167348086 -0.002568839456681916 cam12 0.8970092405204343 -0.3169163081706244 -0.29877652999958115 0.07530644831530031 -0.12094060270558417 -0.9092688641443089 1.0690629631398465
14 1280 720 1078.5648292355809 1074.7284922430886 679.5795907173093 333.0359335561735 -0.43919030602591186 0.1568501975667797 0.0022896842066245124 0.0007777777383824512 cam13 0.9494911912913228 -0.2820000057003159 -0.09530730783147685 0.09929245449238747 -0.4231657523777666 -0.9276354160036936 1.2838722084955767
15 1280 720 1067.0997249180618 1069.5973512840455 651.5793482966084 364.5545638335924 -0.40495110382396793 0.14197565974524162 -0.0025828921437129784 -0.001415143008235142 cam14 0.9997902171545585 -0.0016407987608156134 -0.01918016629521528 -0.006996476424259785 -0.4735906688860706 -0.712302265342913 0.7122276305909311
16 1280 720 1059.5238458621805 1059.9154480661607 656.0323952333206 368.53264877086093 -0.4125872701822961 0.1522899632481921 -0.001876103028795853 0.000745584413045824 cam15 0.9541555160547252 0.01341050603890224 -0.29855036992506595 -0.01658572059718557 -0.09168228788147721 -0.6691416727939102 0.2726797944653081
17 1280 720 1048.9433160577948 1050.3376707931577 675.6927693109724 355.2988146539208 -0.4107181837602556 0.1664581583061731 0.000265586947550757 -0.0021128702625119655 cam16 0.8142178614047522 -0.026043105695198528 -0.5774413966537356 -0.05415223214054748 0.24401991861494873 -0.6537351634648187 0.4852601105170759
18 1280 720 1084.4014909549223 1090.1299519007196 637.9595123109411 317.2256693411585 -0.41104267087000307 0.17293746344146535 -0.00619099943654592 0.0025093633055152244 cam17 0.9582782935710811 0.07261142141467151 0.22873138355786882 0.15528118922245907 -0.4422186071821241 -0.32936575045944216 1.0923714560522944
19 1280 720 1062.0317530700402 1061.2258844039275 657.6410878515018 320.5224324525741 -0.42524563708176644 0.19480625392793816 -0.0017487878812088402 0.0014633154542500724 cam18 0.7511758261269167 0.15273514730476134 0.6090205047334594 0.20371764242337825 -0.7124347385017908 -0.6885690124211882 1.447763174110587
20 1280 720 1048.0176123140325 1053.0139092285592 642.3398832198307 343.91299291074256 -0.39293978297416543 0.11720245777187019 -0.0018276369771897019 -0.0023207590463353253 cam19 0.8694252643526028 0.15238189886086956 0.45499652845909855 0.1177184169751321 -0.590622794138906 -0.3295586617520691 1.1474707526871901
21 1280 720 1064.933175632681 1066.6951126412864 716.2249956871132 386.9346202910335 -0.4383226108403542 0.214050866709697 -0.0042473050086346735 -0.005213723567451622 cam20 0.810251318912307 -0.3180477043466889 0.48538701934368866 -0.08208470876672334 -0.4794973022698818 -0.41129432255707504 1.723765449156682
